2018-03-28 22:09:51,328 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@17eed92a: startup date [Wed Mar 28 22:09:51 EEST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-03-28 22:09:52,229 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\TheXaXo\Desktop\apache-activemq-5.15.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-03-28 22:09:52,434 | INFO  | PListStore:[C:\Users\TheXaXo\Desktop\apache-activemq-5.15.3\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-03-28 22:09:52,588 | INFO  | Apache ActiveMQ 5.15.3 (localhost, ID:XPS15-7030-1522264192445-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-03-28 22:09:52,608 | INFO  | Listening for connections at: tcp://XPS15:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-03-28 22:09:52,610 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-03-28 22:09:52,615 | INFO  | Listening for connections at: amqp://XPS15:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-03-28 22:09:52,616 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-03-28 22:09:52,621 | INFO  | Listening for connections at: stomp://XPS15:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-03-28 22:09:52,623 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-03-28 22:09:52,628 | INFO  | Listening for connections at: mqtt://XPS15:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-03-28 22:09:52,630 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
